grupo,categoria,tipo_producto,titulo,pais_revista,revista,ISSN,categoria_revista,SJR_Q,cites,ano,vol,fasc,pags,DOI,autores,id
URBANITAS,Artículos publicados,Publicado en revista especializada,La dimensión comunicativa de los objetos: imaginarios y sistemas simbólicos como mediadores del recuerdo en la cultura material,España,Fotocinema ,2172-0150,Sin categorÃ­a,Q2,NA,2022,25,N/A ,155 - 175,10.24310/Fotocinema.2022.vi25.14252,"CARLOS ARANGO LOPERA, MARIA CATALINA CRUZ GONZALEZ",174
URBANITAS,Artículos publicados,Publicado en revista especializada,Emotional Intelligence as a Predictor of Prosocial Behaviors in Spanish and Colombian Older Adults Based on Path Models,Suiza,Healthcare ,2227-9032,A2,Q2,3,2022,10,2 ,284 - 300,10.3390/healthcare10020284,"JUAN DIEGO BETANCUR ARIAS, CARLOS ANDRES TREJOS GIL",175
URBANITAS,Artículos publicados,Publicado en revista especializada,Panorama de riesgos por el uso de la tecnología en América Latina,Colombia,Trilogía ,2145-4426,C,Sin categorÃ­a,0,2022,14, ,1 - 40,10.22430/21457778.1833,"JOHN JAIRO YEPES LONDONO, JHOEEN SNEYDER ROJAS DIAZ",176
URBANITAS,Artículos publicados,Publicado en revista especializada,La campaña electoral a las alcaldías en Colombia (2020): el papel de las redes sociales,España,America Latina Hoy ,1130-2887,A2,Q1,NA,2021,89,N/A ,81 - 104,10.14201/alh.26392,CARLOS ANDRES TREJOS GIL,177
URBANITAS,Artículos publicados,Publicado en revista especializada,Psicoterapia online en tiempos de pandemia: Intervención cognitivo-conductual en pacientes colombianos con depresión,Venezuela,Revista de Ciencias Sociales ,1315-9518,B,Q2,3,2021,27,4 ,49 - 60,10.31876/rcs.v27i.36993,"OMAR AUGUSTO AMADOR SANCHEZ, CARLOS ANDRES TREJOS GIL, HUBER YECID CASTRO ESCOBAR, ESTELIO JOSE ANGULO",178
URBANITAS,Artículos publicados,Publicado en revista especializada,Campañas educativas y de prevención. Una revisión sobre el consumo de sustancias psicoactivas en jóvenes universitarios de Colombia,Argentina,Interdisciplinaria ,1668-7027,B,Q3,2,2021,38,N/A ,199 - 208,10.16888/interd.2021.38.2.13,"SANDRA MILENA RESTREPO ESCOBAR, EDWIN ANDRES SEPULVEDA CARDONA",179
URBANITAS,Artículos publicados,Publicado en revista especializada,The management style in funtion to empowerment fo the organization workers | Estilos gerenciales en función del empoderamiento de los colaboradores de la organización,Venezuela,Espacios ,0798-1015,Sin categorÃ­a,Sin categorÃ­a,NA,2021,42,N/A ,1 - 11,10.48082/espacios-a21v42n02p03,"CARLOS ANDRES TREJOS GIL, VICTOR HUGO MERINO CORDOBA, CARMEN YSABEL MARTINEZ DE MERINO, LUZ MERY ORTIZ SANCHEZ",180
URBANITAS,Artículos publicados,Publicado en revista especializada,Hierarchy of values of students from Higher Education Institutions | Jerarquía de valores de los estudiantes de Instituciones de Educación Superior,Venezuela,Revista Venezolana de Gerencia ,1315-9984,B,Q3,NA,2020,25,N/A ,195 - 205,10.37960/rvg.v25i4,"VICTOR HUGO MERINO CORDOBA, CARMEN YSABEL MARTINEZ DE MERINO, LUZ MERY ORTIZ SANCHEZ, CARLOS ANDRES TREJOS GIL",181
URBANITAS,Artículos publicados,Publicado en revista especializada,Valor compartido y planeación estratégica: factores de transformación empresarial en el sector minero,Venezuela,Espacios ,0798-1015,B,Q3,0,2020,41,43 ,1 - 9,,"MAURICIO ALEJANDRO BEDOYA JIMENEZ, JORMARIS MARTINEZ GOMEZ, JUAN DIEGO LOPEZ MEDINA, LUIS FERNANDO QUINTERO ARANGO",182
URBANITAS,Artículos publicados,Publicado en revista especializada,Measurement indicator to psychology online in Latin American in pandemic times - Indicador de Medición en Psicología online en América Latina en tiempos de pandemia,España,Revista Latina de Comunicacion Social ,1138-5820,A2,Q2,NA,2020,78, ,457 - 476,10.4185/RLCS-2020-1485,"CARLOS ANDRES TREJOS GIL, HUBER YECID CASTRO ESCOBAR, OMAR AUGUSTO AMADOR SANCHEZ",183
