title,cites,year,pubid,id
Técnicas interactivas para la investigación social cualitativa,258,2002,9yKSN-GCB0IC,2-1
Técnicas interactivas para la investigación social cualitativa,135,2002,_FxGoFyzp5QC,2-2
Encuentros inevitables entre incluidos y excluidos en espacios sociales escolares de la ciudad de Medellín,5,2005,Zph67rFs4hoC,2-3
"Ayudar, participar y convivir: jóvenes, familia y comunidad en San Juan Tezontla, estado de México",3,2007,u5HHmVD_uO8C,2-4
Experiencias corporales de mujeres excombatientes de las FARC-EP. Un análisis de género,1,2021,ULOm3_A8WrAC,2-5
Migración indígena como estrategia de despojo territorial. Experiencias de mujeres indígenas del municipio de Ocosingo-México,1,2020,KlAtU1dfN6UC,2-6
Consolidación de una gobernanza ambiental mercan-tilista en el estado de Chiapas1,1,2020,MXK_kJrjxJIC,2-7
Encuentros inevitables entre incluidos y excluidos en espacios sociales escolares de la ciudad de Medellín,1,2005,W7OEmFMy1HYC,2-8
Prácticas y saberes de intervención del Trabajo Social en el escenario ambiental desde la experiencia de los departamentos Antioquia y Caldas,0,2021,YOwf2qJgpHMC,2-9
Disputa territorial y reconfiguración de dinámicas sociales en los márgenes del Estado,0,2020,5nxA0vEk-isC,2-10
"Imposición de territorialidades en la región selva de Ocosingo, Chiapas: estrategias de despojo legal",0,2019,0EnyYjriUFMC,2-11
Paradojas y tensiones del quehacer de la antropología en contextos de violencia,0,2019,hqOjcs7Dif8C,2-12
Estudio etnográfico acerca de los desafíos que afrontan las instituciones educativas de la ciudad de Medellín con respecto a la atención educativa de niños y niñas indígenas,0,2018,kNdYIx-mwKoC,2-13
Derecho a la educación de menores de edad indígenas en Medellín,0,2018,roLk4NBRz8UC,2-14
"Disputa territorial y reconfiguración de las dinámicas sociales en los márgenes del estado: implementación de políticas ambientales, de desarrollo y de seguridad en el …",0,2018,3fE2CSJIrl8C,2-15
La investigación antropológica en contextos de violencia. Acercamiento a la situación de la mujer migrante centroamericana en el municipio de Ocosingo,0,2017,d1gkVwhDpl0C,2-16
Capital social: revisión del concepto y propuesta para su reelaboración,8,2008,qjMakFHDy7sC,2-17
"Redes de migrantes y la creación de organizaciones socioeconómicas Estudio de una experiencia en Medellín, Colombia.",5,2013,u-x6o8ySG0sC,2-18
Organizaciones de población desplazada en la construcción de presentes y futuros dignos,5,2010,d1gkVwhDpl0C,2-19
Convivencia. Del dispositivo burocrático-legal a la experiencia de vida digna,0,2014,Tyk-4Ss8FVUC,2-20
"MIGRANT NETWORKS AND SOCIOECONOMIC ORGANIZATIONS CREATION STUDY OF AN EXPERIENCE IN MEDELLIN, COLOMBIA",0,2013,UeHWp8X0CEIC,2-21
Organizaciones de población desplazada en la construcción de presentes y futuros dignos,0,2012,zYLM7Y9cAGgC,2-22
Organizations of Displaced Persons for the Construction of a Dignified Present and Future,0,2010,u5HHmVD_uO8C,2-23
Social capital: a review of the concept and a proposal for its re-elaboration,0,2008,9yKSN-GCB0IC,2-24
