"","title","cites","year","pubid"
"1","Técnicas interactivas para la investigación social cualitativa",258,2002,"9yKSN-GCB0IC"
"2","Técnicas interactivas para la investigación social cualitativa",135,2002,"_FxGoFyzp5QC"
"3","Encuentros inevitables entre incluidos y excluidos en espacios sociales escolares de la ciudad de Medellín",5,2005,"Zph67rFs4hoC"
"4","Ayudar, participar y convivir: jóvenes, familia y comunidad en San Juan Tezontla, estado de México",3,2007,"u5HHmVD_uO8C"
"5","Experiencias corporales de mujeres excombatientes de las FARC-EP. Un análisis de género",1,2021,"ULOm3_A8WrAC"
"6","Migración indígena como estrategia de despojo territorial. Experiencias de mujeres indígenas del municipio de Ocosingo-México",1,2020,"KlAtU1dfN6UC"
"7","Consolidación de una gobernanza ambiental mercan-tilista en el estado de Chiapas1",1,2020,"MXK_kJrjxJIC"
"8","Encuentros inevitables entre incluidos y excluidos en espacios sociales escolares de la ciudad de Medellín",1,2005,"W7OEmFMy1HYC"
"9","Prácticas y saberes de intervención del Trabajo Social en el escenario ambiental desde la experiencia de los departamentos Antioquia y Caldas",0,2021,"YOwf2qJgpHMC"
"10","Disputa territorial y reconfiguración de dinámicas sociales en los márgenes del Estado",0,2020,"5nxA0vEk-isC"
"11","Imposición de territorialidades en la región selva de Ocosingo, Chiapas: estrategias de despojo legal",0,2019,"0EnyYjriUFMC"
"12","Paradojas y tensiones del quehacer de la antropología en contextos de violencia",0,2019,"hqOjcs7Dif8C"
"13","Estudio etnográfico acerca de los desafíos que afrontan las instituciones educativas de la ciudad de Medellín con respecto a la atención educativa de niños y niñas indígenas",0,2018,"kNdYIx-mwKoC"
"14","Derecho a la educación de menores de edad indígenas en Medellín",0,2018,"roLk4NBRz8UC"
"15","Disputa territorial y reconfiguración de las dinámicas sociales en los márgenes del estado: implementación de políticas ambientales, de desarrollo y de seguridad en el …",0,2018,"3fE2CSJIrl8C"
"16","La investigación antropológica en contextos de violencia. Acercamiento a la situación de la mujer migrante centroamericana en el municipio de Ocosingo",0,2017,"d1gkVwhDpl0C"
"17","Capital social: revisión del concepto y propuesta para su reelaboración",8,2008,"qjMakFHDy7sC"
"18","Redes de migrantes y la creación de organizaciones socioeconómicas Estudio de una experiencia en Medellín, Colombia.",5,2013,"u-x6o8ySG0sC"
"19","Organizaciones de población desplazada en la construcción de presentes y futuros dignos",5,2010,"d1gkVwhDpl0C"
"20","Convivencia. Del dispositivo burocrático-legal a la experiencia de vida digna",0,2014,"Tyk-4Ss8FVUC"
"21","MIGRANT NETWORKS AND SOCIOECONOMIC ORGANIZATIONS CREATION STUDY OF AN EXPERIENCE IN MEDELLIN, COLOMBIA",0,2013,"UeHWp8X0CEIC"
"22","Organizaciones de población desplazada en la construcción de presentes y futuros dignos",0,2012,"zYLM7Y9cAGgC"
"23","Organizations of Displaced Persons for the Construction of a Dignified Present and Future",0,2010,"u5HHmVD_uO8C"
"24","Social capital: a review of the concept and a proposal for its re-elaboration",0,2008,"9yKSN-GCB0IC"
"25","Estrategias de acompañamiento familiar para el restablecimiento de derechos de la niñez en el contexto de Hogares Sustitutos",10,2012,"mVmsd5A6BfQC"
"26","Participación y organización: un camino hacia la inserción de la población desplazada en la ciudad de Medellín",9,2007,"IjCSPb-OGe4C"
"27","Exclusión social y pobreza: perspectivas teóricas y percepciones de jóvenes excluidos de la ciudad de Medellín",7,2017,"zYLM7Y9cAGgC"
"28","Condiciones socioeconómicas de las familias en contextos de Hogares Sustitutos.: Una problemática latente",7,2012,"WF5omc3nYNoC"
"29","Políticas lingüísticas colombianas: aciertos y desaciertos",6,2020,"Wp0gIr-vW9MC"
"30","Redes de migrantes y la creación de organizaciones socioeconómicas Estudio de una experiencia en Medellín, Colombia.",5,2013,"d1gkVwhDpl0C"
"31","Organizaciones de población desplazada en la construcción de presentes y futuros dignos",5,2010,"Y0pCki6q_DkC"
"32","Algunos apuntes sobre la participación de la población desplazada en la ciudad de Medellín",5,2008,"8k81kl-MbHgC"
"33","Políticas públicas y jóvenes desplazados en medellín: una mirada desde los contextos de exclusión",4,2012,"9yKSN-GCB0IC"
