item1,item2,similarity,grupo,categoria,tipo_producto,titulo,pais_revista,revista,ISSN,ano,vol,fasc,pags,DOI,autores
3,5,0.9999999999999998,LUES,Artículos publicados,Publicado en revista especializada,Exclusión social y pobreza: perspectivas teóricas y percepciones de jóvenes excluidos de la ciudad de Medellín,Chile,REVISTA AUSTRAL DE CIENCIAS SOCIALES ,0718-1795,2017,32,N/A ,143 - 166,10.4206/rev.austral.cienc.soc.2017,"SANTIAGO MORALES MESA, JENNY MARCELA ACEVEDO VALENCIA, BEATRIZ ELENA GARCIA CHACON, OLGA LUCIA ARBOLEDA ALVAREZ"
3,6,0.9999999999999998,LUES,Artículos publicados,Publicado en revista especializada,Exclusión social y pobreza: perspectivas teóricas y percepciones de jóvenes excluidos de la ciudad de Medellín,Chile,REVISTA AUSTRAL DE CIENCIAS SOCIALES ,0718-1795,2017,32,N/A ,143 - 166,10.4206/rev.austral.cienc.soc.2017,"SANTIAGO MORALES MESA, JENNY MARCELA ACEVEDO VALENCIA, BEATRIZ ELENA GARCIA CHACON, OLGA LUCIA ARBOLEDA ALVAREZ"
5,3,0.9999999999999998,LUES,Artículos publicados,Publicado en revista especializada,Exclusión social y pobreza: perspectivas teóricas y percepciones de jóvenes excluidos de la ciudad de Medellín,Chile,REVISTA AUSTRAL DE CIENCIAS SOCIALES ,0718-1795,2017,32, ,143 - 166,,"SANTIAGO ALBERTO MORALES MESA, BEATRIZ ELENA GARCIA CHACON, JENNY MARCELA ACEVEDO VALENCIA, OLGA LUCIA ARBOLEDA ALVAREZ"
5,6,0.9999999999999998,LUES,Artículos publicados,Publicado en revista especializada,Exclusión social y pobreza: perspectivas teóricas y percepciones de jóvenes excluidos de la ciudad de Medellín,Chile,REVISTA AUSTRAL DE CIENCIAS SOCIALES ,0718-1795,2017,32, ,143 - 166,,"SANTIAGO ALBERTO MORALES MESA, BEATRIZ ELENA GARCIA CHACON, JENNY MARCELA ACEVEDO VALENCIA, OLGA LUCIA ARBOLEDA ALVAREZ"
6,5,0.9999999999999998,LUES,Artículos publicados,Publicado en revista especializada,Exclusión social y pobreza: perspectivas teóricas y percepciones de jóvenes excluidos de la ciudad de Medellín,,Revista Austral de Ciencias Sociales ,0717-3202,2017,32,N/A ,143 - 166,,"BEATRIZ ELENA GARCIA CHACON, SANTIAGO ALBERTO MORALES MESA, JENNY MARCELA ACEVEDO VALENCIA"
6,3,0.9999999999999998,LUES,Artículos publicados,Publicado en revista especializada,Exclusión social y pobreza: perspectivas teóricas y percepciones de jóvenes excluidos de la ciudad de Medellín,,Revista Austral de Ciencias Sociales ,0717-3202,2017,32,N/A ,143 - 166,,"BEATRIZ ELENA GARCIA CHACON, SANTIAGO ALBERTO MORALES MESA, JENNY MARCELA ACEVEDO VALENCIA"
7,8,1.0000000000000002,LUES,Artículos publicados,Publicado en revista especializada,"Reflexividad dialógica, como experiencia de epistemes sentipensantes y solidarias",Colombia,El Ágora Usb ,1657-8031,2017,17,1 ,255 - 264,,ALFREDO MANUEL GHISO COTOS
8,7,1.0000000000000002,LUES,Artículos publicados,Publicado en revista especializada,"Reflexividad dialógica, como experiencia de epistemes sentipensantes y solidarias",Colombia,El Ágora Usb ,1657-8031,2017,17,N/A ,255 - 264,,ALFREDO MANUEL GHISO COTOS
13,14,0.9999999999999996,LUES,Artículos publicados,Publicado en revista especializada,Redes de migrantes y la creación de organizaciones socioeconómicas Estudio de una experiencia en Medellín Colombia.,México,Ra Ximhai ,1665-0441,2013,9,3 ,209 - 234,,"SANTIAGO ALBERTO MORALES MESA, JENNY MARCELA ACEVEDO VALENCIA, ALFREDO MANUEL GHISO COTOS"
14,13,0.9999999999999996,LUES,Artículos publicados,Publicado en revista especializada,"Redes de migrantes y la creación de organizaciones socioeconómicas Estudio de una experiencia en Medellín, Colombia.",México,Ra Ximhai ,1665-0441,2013,9,3 ,209 - 234,,ALFREDO MANUEL GHISO COTOS
26,33,0.7171371656006361,LUES,Artículos publicados,Publicado en revista especializada,La construcción de factor comunidad en las organizaciones de población desplazada (opd) de Medellín,Colombia,Revista De Economía Del Caribe ,2145-9363,2012,9,9 ,128 - 161,,"JENNY MARCELA ACEVEDO VALENCIA, LUZ DOLLY  LOPERA  GARCIA, OLGA LUCIA ARBOLEDA ALVAREZ"
26,36,0.7171371656006361,LUES,Artículos publicados,Publicado en revista especializada,La construcción de factor comunidad en las organizaciones de población desplazada (opd) de Medellín,Colombia,Revista De Economía Del Caribe ,2145-9363,2012,9,9 ,128 - 161,,"JENNY MARCELA ACEVEDO VALENCIA, LUZ DOLLY  LOPERA  GARCIA, OLGA LUCIA ARBOLEDA ALVAREZ"
33,26,0.7171371656006361,LUES,Artículos publicados,Publicado en revista especializada,Organizaciones de población desplazada en la construcción de presentes y futuros dignos,Colombia,Estudios Políticos ,0121-5167,2010,37,N/A ,33 - 72,,"ALFREDO MANUEL GHISO COTOS, JENNY MARCELA ACEVEDO VALENCIA, RICARDO BRICENO AYALA"
33,36,0.9999999999999999,LUES,Artículos publicados,Publicado en revista especializada,Organizaciones de población desplazada en la construcción de presentes y futuros dignos,Colombia,Estudios Políticos ,0121-5167,2010,37,N/A ,33 - 72,,"ALFREDO MANUEL GHISO COTOS, JENNY MARCELA ACEVEDO VALENCIA, RICARDO BRICENO AYALA"
34,35,0.9999999999999999,LUES,Artículos publicados,Publicado en revista especializada,Intimidación y maltrato entre escolares,Colombia,Conversaciones Pedagogicas ,1909-3322,2010,N/A,N/A ,35 - 49,,"ALFREDO MANUEL GHISO COTOS, VIVIANA YANET OSPINA OTAVO"
35,34,0.9999999999999999,LUES,Artículos publicados,Publicado en revista especializada,Intimidación y maltrato entre escolares,Colombia,Conversaciones Pedagogicas ,1909-3322,2010,N/A,N/A ,35 - 49,,"VIVIANA YANET OSPINA OTAVO, ALFREDO MANUEL GHISO COTOS"
36,26,0.7171371656006361,LUES,Artículos publicados,Publicado en revista especializada,Organizaciones de población desplazada en la construcción de presentes y futuros dignos,Colombia,Estudios Políticos ,0121-5167,2010,37, ,73 - 94,,"JENNY MARCELA ACEVEDO VALENCIA, ALFREDO GHISO COTOS, ALFREDO MANUEL GHISO COTOS, RICARDO BRICENO AYALA"
36,33,0.9999999999999999,LUES,Artículos publicados,Publicado en revista especializada,Organizaciones de población desplazada en la construcción de presentes y futuros dignos,Colombia,Estudios Políticos ,0121-5167,2010,37, ,73 - 94,,"JENNY MARCELA ACEVEDO VALENCIA, ALFREDO GHISO COTOS, ALFREDO MANUEL GHISO COTOS, RICARDO BRICENO AYALA"
37,40,0.9999999999999999,LUES,Artículos publicados,Publicado en revista especializada,Naturalización de la intimidación entre escolares: un modo de construir lo social,Colombia,"Revista Latinoamericana De Ciencias Sociales, Niñez Y Juventud ",1692-715X,2010,8,N/A ,535 - 556,,"VIVIANA YANET OSPINA OTAVO, ALFREDO MANUEL GHISO COTOS"
40,37,0.9999999999999999,LUES,Artículos publicados,Publicado en revista especializada,Naturalización de la intimidación entre escolares: un modo de construir lo social,Colombia,"Revista Latinoamericana De Ciencias Sociales, Niñez Y Juventud ",1692-715X,2010,,"8, 1 N/A ",535 - 556,,"ALFREDO MANUEL GHISO COTOS, VIVIANA YANET OSPINA OTAVO"
42,43,0.9999999999999998,LUES,Artículos publicados,Publicado en revista especializada,La convivencia no se impone: notas para una pedagogía que alerta y desnaturaliza el maltrato.,Colombia,Nodos Y Nudos ,0122-4328,2009,3,27 ,4 - 12,,"ALFREDO MANUEL GHISO COTOS, VIVIANA YANET OSPINA OTAVO"
43,42,0.9999999999999998,LUES,Artículos publicados,Publicado en revista especializada,La convivencia no se impone: notas para una pedagogía que alerta y desnaturaliza el maltrato,Colombia,Nodos Y Nudos ,0122-4328,2009,3,27 ,4 - 12,,"VIVIANA YANET OSPINA OTAVO, ALFREDO MANUEL GHISO COTOS"
44,45,0.8101627221513197,LUES,Artículos publicados,Publicado en revista especializada,Algunos apuntes sobre la participación de la población desplazada en la ciudad de Medellín.,Chile,Revista F@ro ,0718-4018,2008,7,N/A ,1 - 12,,JENNY MARCELA ACEVEDO VALENCIA
45,44,0.8101627221513197,LUES,Artículos publicados,Publicado en revista especializada,Participación y organización: un camino hacia la incersión de la población desplazada en la ciudad de Medellín,Colombia,"Debates Sociológicos,  ",1900-5334,2008,12,N/A ,4 - 6,,JENNY MARCELA ACEVEDO VALENCIA
47,48,1.0000000000000002,LUES,Artículos publicados,Publicado en revista especializada,"Línea de investigación Sujeto, Desarrollo y Contextos de Exclusión",Colombia,Textos Y Argumentos ,1692-1135,2008,12,N/A ,9 - 108,,ALFREDO MANUEL GHISO COTOS
47,49,1.0000000000000002,LUES,Artículos publicados,Publicado en revista especializada,"Línea de investigación Sujeto, Desarrollo y Contextos de Exclusión",Colombia,Textos Y Argumentos ,1692-1135,2008,12,N/A ,9 - 108,,ALFREDO MANUEL GHISO COTOS
48,47,1.0000000000000002,LUES,Artículos publicados,Publicado en revista especializada,"Línea de investigación Sujeto, desarrollo y contextos de exclusión.",Colombia,Textos Y Argumentos ,1692-1135,2008,1,1 ,1 - 109,,LIBIA ELENA RAMIREZ ROBLEDO
48,49,1.0000000000000002,LUES,Artículos publicados,Publicado en revista especializada,"Línea de investigación Sujeto, desarrollo y contextos de exclusión.",Colombia,Textos Y Argumentos ,1692-1135,2008,1,1 ,1 - 109,,LIBIA ELENA RAMIREZ ROBLEDO
49,48,1.0000000000000002,LUES,Artículos publicados,Publicado en revista especializada,"Línea de investigación sujeto, desarrollo y contextos de exclusión.",Colombia,Textos Y Argumentos ,1692-1135,2008,1,1 ,1 - 109,,"SANTIAGO ALBERTO MORALES MESA, ALFREDO MANUEL GHISO  COTOS, CATALINA MARIA   TABARES OCHOA, LIBIA ELENA RAMIREZ ROBLEDO, OVIDIO MORALES MESA, CRISTOBAL MUNOZ ARROYAVE"
49,47,1.0000000000000002,LUES,Artículos publicados,Publicado en revista especializada,"Línea de investigación sujeto, desarrollo y contextos de exclusión.",Colombia,Textos Y Argumentos ,1692-1135,2008,1,1 ,1 - 109,,"SANTIAGO ALBERTO MORALES MESA, ALFREDO MANUEL GHISO  COTOS, CATALINA MARIA   TABARES OCHOA, LIBIA ELENA RAMIREZ ROBLEDO, OVIDIO MORALES MESA, CRISTOBAL MUNOZ ARROYAVE"
51,58,0.9999999999999997,LUES,Artículos publicados,Publicado en revista especializada,Espacios y sentidos de la participación juvenil,Chile,Revista Temas Sociologicos ,0717-2087,2007,11,1 ,43 - 70,,ALFREDO MANUEL GHISO COTOS
58,51,0.9999999999999997,LUES,Artículos publicados,Publicado en revista especializada,Espacios y sentidos de la participación juvenil,Colombia,Revista Trabajo Social Universidad De Antioquia ,1794-984X,2006,4,1 ,81 - 103,,ALFREDO MANUEL GHISO COTOS
71,72,0.9999999999999998,LUES,Artículos publicados,Publicado en revista especializada,Tramas de constitución y deconstitución de sujetos en espacios sociales escolares.,Colombia,(0123-9864) Revista Fundación Universitaria Luis Amigó ,0123-9864,2001,5,1 ,17 - 23,,"SANTIAGO ALBERTO MORALES MESA, LUZ ELENA JIMENEZ GOMEZ, ALFREDO MANUEL GHISO  COTOS, PIEDAD CECILIA ORTEGA VALENCIA"
72,71,0.9999999999999998,LUES,Artículos publicados,Publicado en revista especializada,Tramas de constitución y deconstitución de sujetos en espacios sociales escolares,Colombia,(0123-9864) Revista Fundación Universitaria Luis Amigó ,0123-9864,2001,5,00 ,17 - 23,,"ALFREDO MANUEL GHISO COTOS, LUZ ELENA JIMENEZ GOMEZ, SANTIAGO ALBERTO MORALES MESA, PIEDAD CECILIA ORTEGA VALENCIA"
90,91,1.0000000000000002,CONTAS,Artículos publicados,Publicado en revista especializada,"Análisis del ciclo de liquidez, ciclo de caja y el capital de trabajo neto operativo en los hospitales públicos nivel 2, departamento de Antioquia (Colombia)",Venezuela,Espacios ,0798-1015,2020,41,8 ,28 - 35,,FARLEY SARY ROJAS RESTREPO
90,92,1.0000000000000002,CONTAS,Artículos publicados,Publicado en revista especializada,"Análisis del ciclo de liquidez, ciclo de caja y el capital de trabajo neto operativo en los hospitales públicos nivel 2, departamento de Antioquia (Colombia)",Venezuela,Espacios ,0798-1015,2020,41,8 ,28 - 35,,FARLEY SARY ROJAS RESTREPO
91,90,1.0000000000000002,CONTAS,Artículos publicados,Publicado en revista especializada,"Análisis del ciclo de liquidez, ciclo de caja y el capital de trabajo neto operativo en los hospitales públicos nivel 2, departamento de Antioquia (Colombia)",Venezuela,Espacios ,0798-1015,2020,41,8 ,8 - 16,,CANDY LORENA CHAMORRO GONZALEZ
91,92,1.0000000000000002,CONTAS,Artículos publicados,Publicado en revista especializada,"Análisis del ciclo de liquidez, ciclo de caja y el capital de trabajo neto operativo en los hospitales públicos nivel 2, departamento de Antioquia (Colombia)",Venezuela,Espacios ,0798-1015,2020,41,8 ,8 - 16,,CANDY LORENA CHAMORRO GONZALEZ
92,91,1.0000000000000002,CONTAS,Artículos publicados,Publicado en revista especializada,"Análisis del ciclo de liquidez, ciclo de caja y el capital de trabajo neto operativo en los hospitales públicos nivel 2, departamento de Antioquia (Colombia)",,Espacios ,0798-1015,2020,41,08 ,28 - 34,,DIEGO ALEJANDRO RAMIREZ TAPIAS
92,90,1.0000000000000002,CONTAS,Artículos publicados,Publicado en revista especializada,"Análisis del ciclo de liquidez, ciclo de caja y el capital de trabajo neto operativo en los hospitales públicos nivel 2, departamento de Antioquia (Colombia)",,Espacios ,0798-1015,2020,41,08 ,28 - 34,,DIEGO ALEJANDRO RAMIREZ TAPIAS
106,113,1,CONTAS,Artículos publicados,Publicado en revista especializada,"Teorías, usuarios e informes de Responsabilidad Social Corporativa. Una revisión desde la construcción histórica del Estado.",Argentina,Revista Argentina de Investigación en Negocios ,2422-7609,2017,3,1 ,33 - 48,,CARLOS ALBERTO MUNOZ RESTREPO
106,114,1,CONTAS,Artículos publicados,Publicado en revista especializada,"Teorías, usuarios e informes de Responsabilidad Social Corporativa. Una revisión desde la construcción histórica del Estado.",Argentina,Revista Argentina de Investigación en Negocios ,2422-7609,2017,3,1 ,33 - 48,,CARLOS ALBERTO MUNOZ RESTREPO
